year,disease,alder,køn,uddannelse,arbejdsmarked,allocator,type,outcome
-2,Andre Lidelser_Hjertekar,18-49 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Udenfor,Psykiatrien_Ambulant,0,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Udenfor,Psykiatrien_Indlæggelse,0,6.05642548596112
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Udenfor,Psykiatrien_Skadestue,0,0
-2,Cancer_Tarm,65+ år,Mand,Videregående Uddannelse,Udenfor,Psykiatrien_Ambulant,0,0
-2,Cancer_Tarm,65+ år,Mand,Videregående Uddannelse,Udenfor,Psykiatrien_Indlæggelse,0,0
-2,Cancer_Tarm,65+ år,Mand,Videregående Uddannelse,Udenfor,Psykiatrien_Skadestue,0,0
-2,Diabetes II_Uden Komplikationer,50-65 år,Mand,Faglært,Aktiv,Psykiatrien_Ambulant,1,0
-2,Diabetes II_Uden Komplikationer,50-65 år,Mand,Faglært,Aktiv,Psykiatrien_Indlæggelse,1,0
-2,Diabetes II_Uden Komplikationer,50-65 år,Mand,Faglært,Aktiv,Psykiatrien_Skadestue,1,0
-2,Cancer_Tarm,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Cancer_Tarm,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Indlæggelse,1,0.263054670262319
-2,Cancer_Tarm,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Cancer_Prostata,50-65 år,Mand,Faglært,Aktiv,Psykiatrien_Ambulant,1,0
-2,Cancer_Prostata,50-65 år,Mand,Faglært,Aktiv,Psykiatrien_Indlæggelse,1,0.0309033280507132
-2,Cancer_Prostata,50-65 år,Mand,Faglært,Aktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Ambulant,0,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,0,3.03330970942594
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Skadestue,0,0
-2,Cancer_Bryst,50-65 år,Kvinde,Faglært,Udenfor,Psykiatrien_Ambulant,0,0
-2,Cancer_Bryst,50-65 år,Kvinde,Faglært,Udenfor,Psykiatrien_Indlæggelse,0,4.16715542521994
-2,Cancer_Bryst,50-65 år,Kvinde,Faglært,Udenfor,Psykiatrien_Skadestue,0,0
-2,Andre Lidelser_Hjertekar,18-49 år,Kvinde,Faglært,Aktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,18-49 år,Kvinde,Faglært,Aktiv,Psykiatrien_Indlæggelse,1,0.0593738067964872
-2,Andre Lidelser_Hjertekar,18-49 år,Kvinde,Faglært,Aktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Ambulant,0,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Indlæggelse,0,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Skadestue,0,0
-2,Cancer_Bryst,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Cancer_Bryst,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,0.146009389671362
-2,Cancer_Bryst,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Diabetes II_Med Komplikationer,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Diabetes II_Med Komplikationer,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Indlæggelse,1,0.565490196078431
-2,Diabetes II_Med Komplikationer,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Faglært,Aktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Faglært,Aktiv,Psykiatrien_Indlæggelse,1,0.000847697089573326
