year,disease,alder,køn,uddannelse,arbejdsmarked,allocator,type,outcome
-2,Andre Lidelser_KOL,65+ år,Mand,Ufaglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_KOL,65+ år,Mand,Ufaglært,Udenfor,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Kvinde,Videregående Uddannelse,Udenfor,Somatikken_Ambulant,0,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Kvinde,Videregående Uddannelse,Udenfor,Somatikken_Indlæggelse,0,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Kvinde,Videregående Uddannelse,Udenfor,Somatikken_Skadestue,0,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Ufaglært,Udenfor,Somatikken_Ambulant,1,0.0168539325842697
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Ufaglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Mand,Ufaglært,Udenfor,Somatikken_Skadestue,1,0
-2,Diabetes II_Uden Komplikationer,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Ambulant,1,0
-2,Diabetes II_Uden Komplikationer,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Diabetes II_Uden Komplikationer,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Skadestue,1,0
-2,Cancer_Lunge,65+ år,Mand,Faglært,Udenfor,Somatikken_Ambulant,1,0
-2,Cancer_Lunge,65+ år,Mand,Faglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Cancer_Lunge,65+ år,Mand,Faglært,Udenfor,Somatikken_Skadestue,1,0
-2,Andre Lidelser_KOL,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Ambulant,0,0.000569638279692395
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Ambulant,0,0.00521978021978022
-2,Andre Lidelser_KOL,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Indlæggelse,0,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Indlæggelse,0,0
-2,Andre Lidelser_KOL,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Skadestue,0,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Skadestue,0,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Ufaglært,Udenfor,Somatikken_Ambulant,1,0.00305454545454545
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Ufaglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Ufaglært,Udenfor,Somatikken_Skadestue,1,0
-2,Cancer_Lunge,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Ambulant,0,0
-2,Cancer_Lunge,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Indlæggelse,0,0
-2,Cancer_Lunge,65+ år,Kvinde,Ufaglært,Udenfor,Somatikken_Skadestue,0,0
-2,Psykiske Lidelser_Mild,18-49 år,Mand,Ufaglært,Inaktiv,Somatikken_Ambulant,1,0
-2,Psykiske Lidelser_Mild,18-49 år,Mand,Ufaglært,Inaktiv,Somatikken_Indlæggelse,1,0
-2,Psykiske Lidelser_Mild,18-49 år,Mand,Ufaglært,Inaktiv,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Kvinde,Faglært,Udenfor,Somatikken_Ambulant,1,0.0141467727674624
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Kvinde,Faglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Kvinde,Faglært,Udenfor,Somatikken_Skadestue,1,0
-2,Psykiske Lidelser_Mild,50-65 år,Mand,Ufaglært,Aktiv,Somatikken_Ambulant,1,0
-2,Psykiske Lidelser_Mild,50-65 år,Mand,Ufaglært,Aktiv,Somatikken_Indlæggelse,1,0
-2,Psykiske Lidelser_Mild,50-65 år,Mand,Ufaglært,Aktiv,Somatikken_Skadestue,1,0
-2,Cancer_Bryst,50-65 år,Kvinde,Ufaglært,Aktiv,Somatikken_Ambulant,1,0.00818833162743091
-2,Cancer_Bryst,50-65 år,Kvinde,Ufaglært,Aktiv,Somatikken_Indlæggelse,1,0
-2,Cancer_Bryst,50-65 år,Kvinde,Ufaglært,Aktiv,Somatikken_Skadestue,1,0
-2,Cancer_Lunge,50-65 år,Kvinde,Faglært,Udenfor,Somatikken_Ambulant,1,0
-2,Cancer_Lunge,50-65 år,Kvinde,Faglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Cancer_Lunge,50-65 år,Kvinde,Faglært,Udenfor,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Kvinde,Faglært,Aktiv,Somatikken_Ambulant,0,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Kvinde,Faglært,Aktiv,Somatikken_Indlæggelse,0,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Kvinde,Faglært,Aktiv,Somatikken_Skadestue,0,0
